pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
30-15,0-0,0-0,1.0,163999.0,,,4,,1,Ad,David Fix,Far,0.0,Body,-83.72976815,-455.8340059,1.0,Wide,-123.9798064,-189.2701936,,51.9946741,488.9708607,,,,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,1,,Gianluca Ballotta,David Fix,,,,,,2nd Serve In,Wide,
30-15,0-0,0-0,,174229.0,,,4,,2,Ad,David Fix,Far,,,,,,,,,,-165.366273,-504.7090332,Crosscourt,Forehand,,,,,,,,,,49.31834536,215.2741524,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
30-15,0-0,0-0,,175729.0,,,4,,3,Ad,David Fix,Far,,,,,,,,,,140.6959044,428.5658136,Crosscourt,Forehand,,,,,,,,,,-129.4837708,-202.845631,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,1.0,,,,,,,Short
30-15,0-0,0-0,,177428.0,,,4,,4,Ad,David Fix,Far,,,,,,,,,,-134.6404528,-352.2012795,Crosscourt,Forehand,,,,,,,,,,90.92777231,311.6158629,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
30-15,0-0,0-0,,178628.0,,,4,,5,Ad,David Fix,Far,,,,,,,,,,131.6501039,482.9901629,Down the Line,Backhand,,,,,,,,,,54.29880249,-340.1934164,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,,,,,,,,Short
30-15,0-0,0-0,,179678.0,,,4,,6,Deuce,David Fix,Far,,,,,,,,,,46.2756343,-539.6961341,Down the Line,Backhand,1.0,,,,,,,,,40.07243548,451.6205709,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Deep
30-15,0-0,0-0,,181959.0,,,4,,7,Ad,David Fix,Far,,,,,,,,,,14.51252187,515.8840004,Down the Line,Forehand,,,,,,,,,,123.9711559,-233.3388451,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,,1.0,,,,,,Short
30-15,0-0,0-0,,184128.0,,,4,,8,Deuce,David Fix,Far,,,,,,,,,,99.57859799,-39.11173447,Down the Line,Backhand,,,,,,,1,,,117.9383257,350.6803642,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Deep
30-15,0-0,0-0,,185128.0,1.0,185128.0,4,,9,Ad,David Fix,Far,,,,,,,,,,85.8230315,472.224907,Crosscourt,Backhand,,,,,,,,,,-35.36087052,15.38185696,,,,1.0,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,,,,Gianluca Ballotta,1,,,
30-30,0-0,0-0,1.0,219329.0,,,5,,1,Deuce,David Fix,Far,0.0,T,48.09805337,-322.0825623,1.0,Body,95.09715114,-162.2326553,,-30.96879921,456.0770232,,,,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,1,,Gianluca Ballotta,David Fix,,,,,,2nd Serve In,Body,
30-30,0-0,0-0,,229628.0,,,5,,2,Deuce,David Fix,Far,,,,,,,,,,132.1734197,-419.1850558,Down the Line,Backhand,,,,,,,,,,45.37131452,312.8655129,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
30-30,0-0,0-0,,230858.0,,,5,,3,Ad,David Fix,Far,,,,,,,,,,11.36332568,421.3889764,Crosscourt,Forehand,,,,,,,,,,-96.58170385,-212.9061789,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,1.0,,,,,,,Short
